"hgnc" "EntrezGene"
"445" "FAM63B" NA
"446" "PAMR1" 25891
"447" "MARCKSL1" 65108
"448" "OGFOD3" 79701
"449" "OSBPL6" 114880
"450" "TCP11L2" 255394
"451" "PAN2" 9924
"452" "FANCG" 2189
"453" "NTN1" 9423
"454" "ACBD6" 84320
"455" "USP25" 29761
"456" "CDKL2" 8999
"457" "NMT2" 9397
"458" "RP11-557H15.3" NA
"459" "TUSC3" 7991
"460" "RFC3" 5983
"461" "RP11-73E17.2" NA
"462" "DLG5" 9231
"463" "FAM83D" 81610
"464" "RRAD" 6236
"465" "HELLS" 3070
"466" "SGSM1" 129049
"467" "LEPREL4" NA
"468" "SV2A" 9900
"469" "PTMS" 5763
"470" "HEPH" 9843
"471" "MPZL3" 196264
"472" "ZNF234" 10780
"473" "RP5-1125A11.1" NA
"474" "CDCA4" 55038
"475" "TOMM34" 10953
"476" "SERPINA1" 5265
"477" "ISM1" 140862
"478" "AZI1" NA
"479" "NEIL3" 55247
"480" "RP3-368A4.5" NA
"481" "BAI2" 576
"482" "ZWINT" 11130
"483" "TMSB15B" 286527
"484" "RP11-480I12.5" NA
"485" "MTMR10" 54893
"486" "ORC1" 4998
"487" "RP11-864J10.4" NA
"488" "RP11-815J21.1" NA
"489" "UBE2E3" 10477
"490" "SASH1" 23328
"491" "HCFC1R1" 54985
"492" "TCF3" 6929
"493" "BUB1B" 701
"494" "EPHB2" 2048
"495" "NCAPH2" 29781
"496" "TCF7" 6932
"497" "DUSP2" 1844
"498" "SEMA4F" 10505
"499" "P2RY1" 5028
"500" "APOA1BP" NA
"501" "LRRC31" 79782
"502" "TNFRSF12A" 51330
"503" "TROAP" 10024
"504" "CBX2" 84733
"505" "PRKCQ-AS1" 439949
"506" "RPS19P1" 85486
"507" "CTD-2114J12.1" NA
"508" "GPC1" 2817
"509" "DLGAP5" 9787
"510" "ANLN" 54443
"511" "MMP9" 4318
"512" "CSRNP1" 64651
"513" "FHDC1" 85462
"514" "TCN2" 6948
"515" "KIAA0430" NA
"516" "PPIH" 10465
"517" "ZBTB43" 23099
"518" "S1PR5" 53637
"519" "KIF28P" 100130097
"520" "CCL2" 6347
"521" "PSMA6P1" 64596
"522" "MKLN1-AS" 100506881
"523" "RALGAPB" 57148
"524" "C11orf31" NA
"525" "GNE" 10020
"526" "EGFLAM" 133584
"527" "CENPW" 387103
"528" "ANKRD13A" 88455
"529" "KIF4A" 24137
"530" "PLEC" 5339
"531" "CAMTA2" 23125
"532" "ADORA1" 134
"533" "CTGF" 1490
"534" "EMID1" 129080
"535" "RP11-426A6.5" NA
"536" "GCNT4" 51301
"537" "SGOL1" NA
"538" "RPL39L" 116832
"539" "C7orf50" 84310
"540" "KIFC2" 90990
"541" "MAFG-AS1" NA
"542" "GRIK5" 2901
"543" "FAM111B" 374393
"544" "BGN" 633
"545" "AL592183.1" NA
"546" "SRP9" 6726
"547" "CP" 1356
"548" "HAVCR1" 26762
"549" "LDHB" 3945
"550" "PTK7" 5754
"551" "MTND4P20" 100873352
"552" "CD8A" 925
"553" "MMAB" 326625
"554" "RP11-736N17.4" NA
"555" "CCDC85B" 11007
"556" "ERP29" 10961
"557" "TMEM160" 54958
"558" "LINC00857" 439990
"559" "FOXM1" 2305
"560" "DNAJC22" 79962
"561" "GGA3" 23163
"562" "FAM98B" 283742
"563" "FANCA" 2175
"564" "SNRPD1" 6632
"565" "CLN6" 54982
"566" "SSFA2" NA
"567" "NANOGP7" 414130
"568" "FLII" 2314
"569" "EGFL6" 25975
"570" "TMEM88" 92162
"571" "GPC2" 221914
"572" "PRDX2" 7001
"573" "IL1R1" 3554
"574" "BLM" 641
"575" "TCL6" 27004
"576" "IFT27" 11020
"577" "SVOPL" 136306
"578" "TULP2" 7288
"579" "TMEM98" 26022
"580" "RP11-379B18.5" NA
"581" "RP11-20D14.6" NA
"582" "GTSE1" 51512
"583" "BBC3" 27113
"584" "CHCHD6" 84303
"585" "ALYREF" 10189
"586" "COPRS" 55352
"587" "RPL17P22" 727984
"588" "GLRX5" 51218
"589" "SKA1" 220134
"590" "DICER1" 23405
"591" "RAB39B" 116442
"592" "ERCC6L" 54821
"593" "ZNF137P" 7696
"594" "RP11-295P9.3" NA
"595" "PRKAR1B" 5575
"596" "UBE3B" 89910
"597" "LMO7" 4008
"598" "ACTRT3" 84517
"599" "ATP11A" 23250
"600" "IGDCC4" 57722
"601" "HJURP" 55355
"602" "HGSNAT" 138050
"603" "LPPR3" NA
"604" "POLB" 5423
"605" "AC004381.6" NA
"606" "RP11-424C20.2" NA
"607" "NDUFB6" 4712
"608" "ARNTL" 406
"609" "SCTR" 6344
"610" "WNT7A" 7476
"611" "AURKB" 9212
"612" "C12orf45" 121053
"613" "PIK3R1" 5295
"614" "CCNE1" 898
"615" "LYPD1" 116372
"616" "KLK6" 5653
"617" "KIF20A" 10112
"618" "AC011290.5" NA
"619" "TXNDC17" 84817
"620" "APOLD1" 81575
"621" "RP11-449P15.2" NA
"622" "LRRC45" 201255
"623" "ZNF704" 619279
"624" "IGKV3-20" 28912
"625" "CDC6" 990
"626" "LIG1" 3978
"627" "UCHL1" 7345
"628" "SIDT2" 51092
"629" "IGSF11" 152404
"630" "SYNPO2" 171024
"631" "CNNM3" 26505
"632" "CD177" 57126
"633" "ESRP2" 80004
"634" "RP11-1008C21.2" NA
"635" "SLC47A1" 55244
"636" "TENC1" NA
"637" "FAM181A" 90050
"638" "CARD6" 84674
"639" "KHNYN" 23351
"640" "LINC00598" 646982
"641" "ACVR1C" 130399
"642" "MCM4" 4173
"643" "ZNF555" 148254
"644" "RP11-570P14.1" NA
"645" "TPX2" 22974
"646" "TLR4" 7099
"647" "PORCN" 64840
"648" "ZCCHC6" NA
"649" "COG1" 9382
"650" "NEMF" 9147
"651" "SYCE1L" 100130958
"652" "RP3-467L1.6" NA
"653" "AC007362.1" NA
"654" "SLC6A6" 6533
"655" "RP11-14N7.2" NA
"656" "AKAP13" 11214
"657" "COL8A1" 1295
"658" "LOXL1" 4016
"659" "TMEM201" 199953
"660" "ZNF142" 7701
"661" "RN7SL648P" 106479459
"662" "KIFC1" 3833
"663" "STRIP2" 57464
"664" "TATDN2" 9797
"665" "AC005253.2" NA
"666" "TMEM106C" 79022
"667" "RP11-248B24.4" NA
"668" "SMG1" 23049
"669" "BCL2L15" 440603
"670" "MCTS1" 28985
"671" "SYNE2" 23224
"672" "RRM2" 6241
"673" "FGF10" 2255
"674" "RP11-435F17.3" NA
"675" "LEF1-AS1" 641518
"676" "AC074289.1" NA
"677" "HMCES" 56941
"678" "MRPL12" 6182
"679" "RP11-2H8.2" NA
"680" "CALCRL" 10203
"681" "RASEF" 158158
"682" "MBD3" 53615
"683" "MRAP2" 112609
"684" "BTG3" 10950
"685" "AP1S1" 1174
"686" "CYP26B1" 56603
"687" "BAI1" NA
"688" "SNRPC" 6631
"689" "EDN2" 1907
"690" "FLNB" 2317
"691" "RP11-627G23.1" NA
"692" "FBLN7" 129804
"693" "ERP27" 121506
"694" "DEPDC7" 91614
"695" "RBL2" 5934
"696" "AC007229.3" NA
"697" "PCA3" 50652
"698" "WNT9B" 7484
"699" "AHNAK" 79026
"700" "PSMA2" 5683
"701" "ABHD8" 79575
"702" "SUB1" 10923
"703" "LRRN1" 57633
"704" "PMS2" 5395
"705" "PPARA" 5465
"706" "GLA" 2717
"707" "IGSF8" 93185
"708" "CKAP2" 26586
"709" "WNT5A-AS1" 100874008
"710" "PPP2R5A" 5525
"711" "CKS2" 1164
"712" "MEX3A" 92312
"713" "NRBP2" 340371
"714" "ZCCHC2" 54877
"715" "BTAF1" 9044
"716" "CYP26A1" 1592
"717" "CD6" 923
"718" "ZNF160" 90338
"719" "NT5DC2" 64943
"720" "CNPY4" 245812
"721" "ACADSB" 36
"722" "HSD17B14" 51171
"723" "SAAL1" 113174
"724" "MFSD3" 113655
"725" "XRCC6BP1" NA
"726" "FGF7" 2252
"727" "GALNT12" 79695
"728" "FLNC" 2318
"729" "PACSIN3" 29763
"730" "ATOX1" 475
"731" "RAB6B" 51560
"732" "RP11-425L10.1" NA
"733" "ST7-AS1" 93653
"734" "CLNS1A" 1207
"735" "ZNF782" 158431
"736" "METTL21A" 151194
"737" "IGHG2" 3501
